id,addition_time,client_id,active,registration_number,brand,color
1,2024-07-16T18:31:01.993592,8344,Y,KU 3219,MAZDA B-Series Extended Cab,Cyan
2,2023-07-08T12:27:21.699479,7747,Y,5YE37,Cadillac Escalade ESV,Olive
3,2024-05-06T02:42:35.158285,17927,Y,IHF2682,GMC Sierra 1500 Extended Cab,Pink
4,2023-12-30T12:43:53.197463,4059,N,VBX 543,Ram ProMaster Window Van,MediumSpringGreen
5,2022-07-29T10:29:42.946466,6105,Y,014HTC,Chevrolet Suburban 1500,LimeGreen
6,2022-01-14T18:42:35.204878,1718,N,HVT 9361,Ram 2500 Mega Cab,MistyRose
7,2021-08-07T17:01:11.011782,18395,N,JYW C13,Pontiac Bonneville,DarkOliveGreen
8,2022-03-19T20:52:20.975941,6979,N,ZYH 919,Porsche Cayman,MediumSpringGreen
9,2022-08-13T12:41:49.210413,2242,Y,UPG 644,MAZDA B-Series Cab Plus,LightCoral
10,2024-08-16T06:55:37.211578,19672,N,MAG 927,Ford F250 Super Duty Super Cab,Bisque
11,2022-11-09T04:28:04.720742,6830,N,461 GCM,BMW X6 M,Turquoise
12,2019-12-24T10:46:39.915591,9578,N,KZH 823,Volvo S60,DarkSeaGreen
13,2023-12-12T08:58:11.784173,16456,Y,Z15-ATZ,Audi A3,OldLace
14,2024-10-19T03:24:29.936865,3842,Y,7F MG143,GMC Acadia,Turquoise
15,2021-07-20T19:30:53.371968,832,N,743-FBC,Audi Cabriolet,MediumOrchid
16,2020-03-28T15:00:01.127550,11229,N,1W 9I1KYD,Toyota Tacoma Double Cab,Khaki
17,2021-02-21T22:15:22.881834,8743,Y,49-ZV25,Acura RL,MediumAquaMarine
18,2022-02-10T20:43:51.860319,18229,Y,3FN 168,Jaguar XJ,DeepSkyBlue
19,2024-02-23T22:07:33.689526,11592,Y,LLE 813,Mercedes-Benz 190 E,DarkGray
20,2024-05-07T10:33:12.001560,2237,N,BXY-1927,Suzuki SX4,Moccasin
21,2024-04-07T10:13:22.673708,5947,Y,QKY-9315,Nissan Quest,GoldenRod
22,2021-08-03T21:06:44.801025,13047,N,3339,Saturn S-Series,OrangeRed
23,2022-11-07T14:40:25.372736,17942,Y,GVV-396,GMC Sonoma Club Coupe Cab,AliceBlue
24,2023-12-12T03:10:06.736047,13800,Y,63V W90,BMW 5 Series,GreenYellow
25,2019-12-13T21:00:18.113599,138,N,682-277,Chrysler Sebring,IndianRed
26,2021-02-25T04:05:19.421329,6870,N,F75 1NQ,Mercedes-Benz Sprinter 2500 Passenger,WhiteSmoke
27,2022-11-12T06:12:20.607514,15664,N,KZZ-813,Suzuki Forenza,HotPink
28,2021-05-15T20:09:03.163041,3883,N,744 4IV,Ford Excursion,DarkOliveGreen
29,2021-11-26T02:33:39.541215,7881,N,2HB27,Dodge Ram Van 1500,RoyalBlue
30,2023-11-08T08:11:58.824324,12727,Y,QM-0890,Plymouth Colt,Gray
31,2021-05-23T08:55:31.384261,1285,N,QZ-2126,Ford Aerostar Passenger,Sienna
32,2024-04-18T14:30:58.370863,7025,N,282 ACF,Honda Pilot,Gold
33,2024-06-15T04:13:22.216441,8743,N,511 GRO,Cadillac ELR,Cornsilk
34,2021-12-26T01:49:05.327443,10912,N,BNH5401,GMC Sierra 2500 HD Crew Cab,CornflowerBlue
35,2024-06-11T21:10:54.006116,7482,Y,GJI 805,Dodge Ram 3500 Mega Cab,HotPink
36,2021-10-09T15:55:37.038992,18271,Y,7XZB 04,Toyota Tundra CrewMax,DarkTurquoise
37,2023-06-07T07:34:55.837477,13623,Y,UZI-830,GMC Sonoma Club Coupe Cab,CadetBlue
38,2022-11-19T23:44:38.690036,6875,Y,VDU 249,Mercedes-Benz GLE,DodgerBlue
39,2022-03-12T16:45:02.006525,10427,N,369 9CH,Dodge Dakota Club Cab,DarkOrchid
40,2021-10-13T18:55:48.867108,17495,Y,K07 1SA,Jaguar F-TYPE,LightGray
41,2022-05-01T10:40:59.312109,13880,N,444JUD,Buick Regal,Orange
42,2021-07-07T10:50:41.262916,15653,N,29E 236,Cadillac Catera,Linen
43,2023-08-25T20:37:26.618395,5619,Y,TFJ-275,Toyota Avalon,LavenderBlush
44,2020-07-18T15:43:25.231464,15557,Y,822 WJP,Mercedes-Benz 190 E,AliceBlue
45,2021-11-21T06:23:46.737789,18408,Y,A31 4ZL,Dodge Ram Van 2500,DeepPink
46,2022-01-10T11:51:37.912510,11196,Y,RAH-6533,Kia Forte,Turquoise
47,2024-04-04T02:38:53.759521,5882,Y,052-ENX,Isuzu Trooper,LightGoldenRodYellow
48,2020-12-08T04:52:19.132818,14902,Y,093-IKE,Ford F350 Super Duty Super Cab,Yellow
49,2024-04-16T05:51:12.479745,4548,Y,231-WTT,Kia Spectra,White
50,2022-10-06T22:45:08.879702,2828,N,564 EU8,Mercedes-Benz G-Class,DarkGreen
51,2021-12-31T06:40:25.550635,8216,Y,555 5765,Hyundai Sonata,Purple
52,2023-03-05T11:15:32.107699,12003,Y,140 1351,Volkswagen Passat,Tan
53,2020-10-06T11:17:33.194616,7316,N,205492,Nissan Pathfinder,White
54,2019-11-05T14:23:52.582443,14509,N,856692,Audi A5,DarkOliveGreen
55,2021-10-19T06:40:39.554432,7687,Y,516 MFP,Toyota Avalon,DimGray
56,2023-10-10T20:11:04.690041,9733,N,524 CC1,GMC Savana 3500 Passenger,GhostWhite
57,2020-11-09T01:29:15.562508,3273,N,827-985,Ford Ranger Regular Cab,Black
58,2024-09-10T15:22:09.241577,18247,Y,2OLL603,Suzuki Grand Vitara,LightSlateGray
59,2022-09-12T15:14:33.941459,14473,N,92O 1271,Audi TT,AntiqueWhite
60,2022-04-18T21:08:28.600976,8007,N,KQM-2149,Chrysler Sebring,LightGray
61,2020-06-28T08:28:14.608382,12312,N,99B 686,Volkswagen Beetle,DarkSeaGreen
62,2020-05-03T06:06:53.563918,14568,Y,2OZC 05,INFINITI G,PowderBlue
63,2023-04-22T23:00:54.261535,8779,Y,FSG 429,Mitsubishi Montero Sport,Ivory
64,2020-04-10T11:41:04.635070,1420,Y,PHQ 538,Mercedes-Benz 300 CE,Orchid
65,2020-01-11T14:19:51.010353,8847,N,391 UQW,BMW X3,DarkTurquoise
66,2022-11-21T16:23:22.078838,11210,Y,496-GEE,Dodge Ram 1500 Quad Cab,LightGoldenRodYellow
67,2021-04-30T03:14:56.832388,5667,N,JRO 306,Chevrolet Silverado (Classic) 2500 HD Regular Cab,Cornsilk
68,2021-07-23T13:38:00.227933,16774,N,E09-LGU,Maybach 57,Gray
69,2023-09-16T15:11:13.011354,11889,N,0KUR645,Hyundai Sonata,IndianRed
70,2024-04-15T06:19:15.271100,1389,N,IYQ-1872,Dodge Durango,Tomato
71,2021-07-29T05:51:46.012737,12342,Y,574HLM,Chrysler Town & Country,LightCoral
72,2020-02-17T05:05:12.741454,18242,N,09Z 127,Volvo S40,SlateGray
73,2024-10-09T04:23:23.205044,14055,Y,HCH-090,Chrysler Crossfire,CornflowerBlue
74,2023-01-17T04:53:57.073483,1840,N,KFM 271,Jaguar XF,AntiqueWhite
75,2023-01-12T18:59:56.313672,17689,Y,KG 6783,Nissan Sentra,CadetBlue
76,2020-08-03T12:25:53.836146,698,Y,XVV 368,Kia Forte5,PowderBlue
77,2019-11-23T17:52:31.044270,12508,N,390-ACG,Toyota Avalon,DarkSlateGray
78,2020-09-09T15:26:53.819138,1780,N,NAQ 8416,Dodge Ram Wagon 3500,DarkSalmon
79,2020-10-16T12:46:38.191989,19027,N,LPU 736,Nissan Titan King Cab,DarkSalmon
80,2020-01-02T21:05:52.530194,7109,Y,463-EPH,Chevrolet Corvette,Ivory
