Query,Run,Execution Time (s)
select1,1,0.2585599422454834
select2,1,0.8534681797027588
select3,1,0.028619050979614258
delete,1,0.019603967666625977
select1,2,0.030181884765625
select2,2,0.6540689468383789
select3,2,0.008167743682861328
delete,2,0.012672185897827148
select1,3,0.02822709083557129
select2,3,0.6540670394897461
select3,3,0.007960796356201172
delete,3,0.012490987777709961
select1,4,0.02879619598388672
select2,4,0.6706831455230713
select3,4,0.008008956909179688
delete,4,0.012679100036621094
select1,5,0.028937101364135742
select2,5,0.6608848571777344
select3,5,0.008275985717773438
delete,5,0.013234138488769531
