Query,Run,Execution Time (s)
select1,1,0.06554508209228516
select2,1,0.4502878189086914
select3,1,0.021741151809692383
delete,1,0.012020111083984375
select1,2,0.06403470039367676
select2,2,0.4604668617248535
select3,2,0.021067142486572266
delete,2,0.011727094650268555
select1,3,0.06676816940307617
select2,3,0.4642479419708252
select3,3,0.020951032638549805
delete,3,0.011929988861083984
select1,4,0.06309795379638672
select2,4,0.47422122955322266
select3,4,0.02184915542602539
delete,4,0.012800216674804688
select1,5,0.06414008140563965
select2,5,0.46637892723083496
select3,5,0.022758960723876953
delete,5,0.012516021728515625
