Query,Run,Execution Time (s)
select1,1,0.06795811653137207
select2,1,0.44779396057128906
select3,1,0.02086806297302246
delete,1,0.011812925338745117
select1,2,0.06487512588500977
select2,2,0.48232102394104004
select3,2,0.021078109741210938
delete,2,0.011909961700439453
select1,3,0.06367206573486328
select2,3,0.46010589599609375
select3,3,0.02086329460144043
delete,3,0.012070894241333008
select1,4,0.06467700004577637
select2,4,0.4542529582977295
select3,4,0.021281003952026367
delete,4,0.011785030364990234
select1,5,0.06405210494995117
select2,5,0.4483659267425537
select3,5,0.021518707275390625
delete,5,0.011773109436035156
