Query,Run,Execution Time (s)
select1,1,0.24152660369873047
select2,1,0.8646230697631836
select3,1,0.027489662170410156
delete,1,0.023662805557250977
select1,2,0.23986101150512695
select2,2,0.7228810787200928
select3,2,0.021893739700317383
delete,2,0.02166604995727539
select1,3,0.23191070556640625
select2,3,0.7031288146972656
select3,3,0.02785181999206543
delete,3,0.02747201919555664
select1,4,0.2667253017425537
select2,4,0.7050337791442871
select3,4,0.021754026412963867
delete,4,0.022163867950439453
select1,5,0.23465490341186523
select2,5,0.702930212020874
select3,5,0.0214540958404541
delete,5,0.022012948989868164
