Query,Run,Execution Time (s)
select1,1,0.06514215469360352
select2,1,0.4537649154663086
select3,1,0.02120828628540039
delete,1,0.011886119842529297
select1,2,0.06457281112670898
select2,2,0.44518470764160156
select3,2,0.021094083786010742
delete,2,0.011788129806518555
select1,3,0.06290912628173828
select2,3,0.4474220275878906
select3,3,0.020756959915161133
delete,3,0.01176309585571289
select1,4,0.07035708427429199
select2,4,0.45934104919433594
select3,4,0.020893096923828125
delete,4,0.01182103157043457
select1,5,0.0659792423248291
select2,5,0.4530041217803955
select3,5,0.02114272117614746
delete,5,0.012112855911254883
