Query,Run,Execution Time (s)
select1,1,0.23943877220153809
select2,1,0.7312619686126709
select3,1,0.026720046997070312
delete,1,0.02423381805419922
select1,2,0.26746606826782227
select2,2,0.7384939193725586
select3,2,0.022632122039794922
delete,2,0.021990299224853516
select1,3,0.24779701232910156
select2,3,0.7198131084442139
select3,3,0.02334427833557129
delete,3,0.022724151611328125
select1,4,0.25852298736572266
select2,4,0.7142457962036133
select3,4,0.023550987243652344
delete,4,0.02164912223815918
select1,5,0.24222803115844727
select2,5,0.7323720455169678
select3,5,0.022767066955566406
delete,5,0.019824981689453125
