Query,Run,Execution Time (s)
select1,1,0.24819302558898926
select2,1,0.7342379093170166
select3,1,0.029651880264282227
delete,1,0.02893805503845215
select1,2,0.24924612045288086
select2,2,0.7091410160064697
select3,2,0.02451181411743164
delete,2,0.0216827392578125
select1,3,0.2392280101776123
select2,3,0.7033042907714844
select3,3,0.02167677879333496
delete,3,0.021025896072387695
select1,4,0.24154305458068848
select2,4,0.6991868019104004
select3,4,0.022742033004760742
delete,4,0.021210908889770508
select1,5,0.26383376121520996
select2,5,0.7069010734558105
select3,5,0.02312779426574707
delete,5,0.020602703094482422
