COMPONENT,CURRENT_SIZE,MIN_SIZE,MAX_SIZE,USER_SPECIFIED_SIZE,OPER_COUNT,LAST_OPER_TYPE,LAST_OPER_MODE,LAST_OPER_TIME,GRANULE_SIZE,CON_ID
shared pool,620756992,620756992,620756992,0,0,STATIC,,,16777216,0
large pool,67108864,67108864,67108864,0,0,STATIC,,,16777216,0
java pool,0,0,0,0,0,STATIC,,,16777216,0
streams pool,0,0,0,0,0,STATIC,,,16777216,0
unified pga pool,0,0,0,0,0,STATIC,,,16777216,0
SGA Target,6442450944,6442450944,6442450944,6442450944,0,STATIC,,,16777216,0
memoptimize buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT buffer cache,4529848320,4529848320,4529848320,0,0,INITIALIZING,,,16777216,0
KEEP buffer cache,0,0,0,0,0,STATIC,,,16777216,0
RECYCLE buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 2K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 4K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 8K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 16K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 32K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
Shared IO Pool,134217728,134217728,134217728,134217728,0,STATIC,,,16777216,0
Data Transfer Cache,0,0,0,0,0,STATIC,,,16777216,0
In-Memory Area,1073741824,0,1073741824,1073741824,0,STATIC,,,16777216,0
In Memory RW Extension Area,0,0,0,0,0,STATIC,,,16777216,0
In Memory RO Extension Area,0,0,0,0,0,STATIC,,,16777216,0
PGA Target,1677721600,1677721600,1677721600,1677721600,0,STATIC,,,16777216,0
ASM Buffer Cache,0,0,0,0,0,STATIC,,,16777216,0
