Query,Run,Execution Time (s)
select1,1,0.2774848937988281
select2,1,0.7775208950042725
select3,1,0.038496971130371094
delete,1,0.022036075592041016
select1,2,0.0337977409362793
select2,2,0.6858880519866943
select3,2,0.00916600227355957
delete,2,0.013471126556396484
select1,3,0.03055095672607422
select2,3,0.6619532108306885
select3,3,0.00975799560546875
delete,3,0.012980937957763672
select1,4,0.029329776763916016
select2,4,0.6590840816497803
select3,4,0.008493661880493164
delete,4,0.012428045272827148
select1,5,0.028805255889892578
select2,5,0.6584880352020264
select3,5,0.007986068725585938
delete,5,0.012433767318725586
