Query,Run,Execution Time (s)
select1,1,0.2510967254638672
select2,1,0.7441980838775635
select3,1,0.03348207473754883
delete,1,0.030328035354614258
select1,2,0.2473311424255371
select2,2,0.7333669662475586
select3,2,0.025993824005126953
delete,2,0.026398181915283203
select1,3,0.2564711570739746
select2,3,0.7026212215423584
select3,3,0.021270036697387695
delete,3,0.02257990837097168
select1,4,0.23714399337768555
select2,4,0.7381250858306885
select3,4,0.02324986457824707
delete,4,0.02185988426208496
select1,5,0.2326526641845703
select2,5,0.71315598487854
select3,5,0.024885892868041992
delete,5,0.022669076919555664
