PGA_TARGET_FOR_ESTIMATE,PGA_TARGET_FACTOR,ADVICE_STATUS,BYTES_PROCESSED,ESTD_TIME,ESTD_EXTRA_BYTES_RW,ESTD_PGA_CACHE_HIT_PERCENTAGE,ESTD_OVERALLOC_COUNT,CON_ID
102760448,0.125,ON,53837069312,12161385,3849725952,93,131,0
205520896,0.25,ON,53837069312,11890682,2565663744,95,79,0
411041792,0.5,ON,53837069312,11349796,0,100,0,0
616562688,0.75,ON,53837069312,11349796,0,100,0,0
822083584,1.0,ON,53837069312,11349796,0,100,0,0
986500096,1.2,ON,53837069312,11349796,0,100,0,0
1150916608,1.4,ON,53837069312,11349796,0,100,0,0
1315333120,1.6,ON,53837069312,11349796,0,100,0,0
1479749632,1.8,ON,53837069312,11349796,0,100,0,0
1644167168,2.0,ON,53837069312,11349796,0,100,0,0
2466250752,3.0,ON,53837069312,11349796,0,100,0,0
3288334336,4.0,ON,53837069312,11349796,0,100,0,0
4932501504,6.0,ON,53837069312,11349796,0,100,0,0
6576668672,8.0,ON,53837069312,11349796,0,100,0,0
