Query,Run,Execution Time (s)
select1,1,0.3264589309692383
select2,1,19.556782245635986
select3,1,13.29460096359253
delete,1,5.787585735321045
select1,2,0.09758210182189941
select2,2,18.782928943634033
select3,2,12.52211308479309
delete,2,6.040870189666748
select1,3,0.08275794982910156
select2,3,20.002978801727295
select3,3,12.867692232131958
delete,3,5.965775966644287
select1,4,0.09267902374267578
select2,4,19.3336341381073
select3,4,12.642189979553223
delete,4,6.0302369594573975
select1,5,0.1040341854095459
select2,5,19.732218980789185
select3,5,13.105400085449219
delete,5,6.184372901916504
