Query,Run,Execution Time (s)
select1,1,0.2754480838775635
select2,1,0.7709701061248779
select3,1,0.028717756271362305
delete,1,0.02042388916015625
select1,2,0.03187084197998047
select2,2,0.6706681251525879
select3,2,0.008148908615112305
delete,2,0.01235198974609375
select1,3,0.029048919677734375
select2,3,0.6657290458679199
select3,3,0.008356809616088867
delete,3,0.013788938522338867
select1,4,0.03423190116882324
select2,4,0.6703789234161377
select3,4,0.008257865905761719
delete,4,0.013202190399169922
select1,5,0.028722047805786133
select2,5,0.6584727764129639
select3,5,0.008507013320922852
delete,5,0.012534141540527344
