Query,Run,Execution Time (s)
select1,1,0.26083898544311523
select2,1,0.7235949039459229
select3,1,0.026356935501098633
delete,1,0.018908977508544922
select1,2,0.02907109260559082
select2,2,0.6590499877929688
select3,2,0.008109092712402344
delete,2,0.012753009796142578
select1,3,0.028157949447631836
select2,3,0.6569561958312988
select3,3,0.008317947387695312
delete,3,0.012327909469604492
select1,4,0.03198814392089844
select2,4,0.6584610939025879
select3,4,0.008165121078491211
delete,4,0.012622833251953125
select1,5,0.028620004653930664
select2,5,0.6615936756134033
select3,5,0.009470224380493164
delete,5,0.012857198715209961
