Query,Run,Execution Time (s)
select1,1,0.28147315979003906
select2,1,0.7899940013885498
select3,1,0.036682844161987305
delete,1,0.022849082946777344
select1,2,0.028851747512817383
select2,2,0.704430103302002
select3,2,0.009855985641479492
delete,2,0.013482809066772461
select1,3,0.03470206260681152
select2,3,0.6967518329620361
select3,3,0.009520769119262695
delete,3,0.013160943984985352
select1,4,0.029015779495239258
select2,4,0.8371551036834717
select3,4,0.01139688491821289
delete,4,0.014744997024536133
select1,5,0.03096175193786621
select2,5,0.6956737041473389
select3,5,0.011751174926757812
delete,5,0.01662898063659668
