Query,Run,Execution Time (s)
select1,1,0.27002882957458496
select2,1,0.7176988124847412
select3,1,0.027553081512451172
delete,1,0.019624948501586914
select1,2,0.027965307235717773
select2,2,0.7183530330657959
select3,2,0.008649110794067383
delete,2,0.012798309326171875
select1,3,0.028390169143676758
select2,3,0.6578810214996338
select3,3,0.010388851165771484
delete,3,0.012987852096557617
select1,4,0.028042078018188477
select2,4,0.6708390712738037
select3,4,0.008240222930908203
delete,4,0.013066291809082031
select1,5,0.028078079223632812
select2,5,0.6603431701660156
select3,5,0.00978708267211914
delete,5,0.01311492919921875
