Query,Run,Execution Time (s)
select1,1,0.26379919052124023
select2,1,0.7197048664093018
select3,1,0.026648759841918945
delete,1,0.019097089767456055
select1,2,0.02800774574279785
select2,2,0.6881968975067139
select3,2,0.010779142379760742
delete,2,0.014719009399414062
select1,3,0.03291916847229004
select2,3,0.7203187942504883
select3,3,0.01075887680053711
delete,3,0.01510000228881836
select1,4,0.03106403350830078
select2,4,0.6913580894470215
select3,4,0.009212255477905273
delete,4,0.013778924942016602
select1,5,0.032929182052612305
select2,5,0.7042806148529053
select3,5,0.00998687744140625
delete,5,0.013678789138793945
