COMPONENT,CURRENT_SIZE,MIN_SIZE,MAX_SIZE,USER_SPECIFIED_SIZE,OPER_COUNT,LAST_OPER_TYPE,LAST_OPER_MODE,LAST_OPER_TIME,GRANULE_SIZE,CON_ID
shared pool,788529152,788529152,788529152,0,0,STATIC,,,16777216,0
large pool,67108864,67108864,67108864,0,0,STATIC,,,16777216,0
java pool,0,0,0,0,0,STATIC,,,16777216,0
streams pool,0,0,0,0,0,STATIC,,,16777216,0
unified pga pool,0,0,0,0,0,STATIC,,,16777216,0
SGA Target,6442450944,6442450944,6442450944,6442450944,0,STATIC,,,16777216,0
memoptimize buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT buffer cache,3288334336,3288334336,3422552064,0,1,SHRINK,IMMEDIATE,2025-01-20 16:39:18,16777216,0
KEEP buffer cache,0,0,0,0,0,STATIC,,,16777216,0
RECYCLE buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 2K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 4K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 8K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 16K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
DEFAULT 32K buffer cache,0,0,0,0,0,STATIC,,,16777216,0
Shared IO Pool,134217728,0,134217728,0,1,GROW,IMMEDIATE,2025-01-20 16:39:18,16777216,0
Data Transfer Cache,0,0,0,0,0,STATIC,,,16777216,0
In-Memory Area,2147483648,0,2147483648,2147483648,0,STATIC,,,16777216,0
In Memory RW Extension Area,0,0,0,0,0,STATIC,,,16777216,0
In Memory RO Extension Area,0,0,0,0,0,STATIC,,,16777216,0
PGA Target,1677721600,1677721600,1677721600,1677721600,0,STATIC,,,16777216,0
ASM Buffer Cache,0,0,0,0,0,STATIC,,,16777216,0
