PGA_TARGET_FOR_ESTIMATE,PGA_TARGET_FACTOR,ADVICE_STATUS,BYTES_PROCESSED,ESTD_TIME,ESTD_EXTRA_BYTES_RW,ESTD_PGA_CACHE_HIT_PERCENTAGE,ESTD_OVERALLOC_COUNT,CON_ID
209321984,0.125,ON,20547270656,7224244,595233792,97,103,0
418643968,0.25,ON,20547270656,7020857,0,100,0,0
837287936,0.5,ON,20547270656,7020857,0,100,0,0
1255931904,0.75,ON,20547270656,7020857,0,100,0,0
1674575872,1.0,ON,20547270656,7020857,0,100,0,0
2009490432,1.2,ON,20547270656,7020857,0,100,0,0
2344406016,1.4,ON,20547270656,7020857,0,100,0,0
2679320576,1.6,ON,20547270656,7020857,0,100,0,0
3014236160,1.8,ON,20547270656,7020857,0,100,0,0
3349151744,2.0,ON,20547270656,7020857,0,100,0,0
5023727616,3.0,ON,20547270656,7020857,0,100,0,0
6698303488,4.0,ON,20547270656,7020857,0,100,0,0
10047455232,6.0,ON,20547270656,7020857,0,100,0,0
13396606976,8.0,ON,20547270656,7020857,0,100,0,0
