Query,Run,Execution Time (s)
select1,1,0.2587730884552002
select2,1,0.7409651279449463
select3,1,0.029600143432617188
delete,1,0.018774032592773438
select1,2,0.028680086135864258
select2,2,0.6563920974731445
select3,2,0.009191036224365234
delete,2,0.012542963027954102
select1,3,0.028151988983154297
select2,3,0.6831631660461426
select3,3,0.012374162673950195
delete,3,0.013694047927856445
select1,4,0.028768062591552734
select2,4,0.7264177799224854
select3,4,0.010225772857666016
delete,4,0.012852907180786133
select1,5,0.05126023292541504
select2,5,0.7015652656555176
select3,5,0.009123086929321289
delete,5,0.013484001159667969
