Query,Run,Execution Time (s)
select1,1,0.2972280979156494
select2,1,18.39979910850525
select3,1,12.29750919342041
delete,1,5.86083197593689
select1,2,0.07969808578491211
select2,2,20.781755208969116
select3,2,12.970574855804443
delete,2,6.449883222579956
select1,3,0.10179495811462402
select2,3,19.22010111808777
select3,3,12.841214895248413
delete,3,6.13908314704895
select1,4,0.08616018295288086
select2,4,18.919481992721558
select3,4,12.482437133789062
delete,4,5.725140810012817
select1,5,0.0802760124206543
select2,5,18.474217891693115
select3,5,12.783540964126587
delete,5,6.092997074127197
