Query,Run,Execution Time (s)
select1,1,0.35911989212036133
select2,1,0.8146862983703613
select3,1,0.0559389591217041
delete,1,0.08749508857727051
select1,2,0.032996177673339844
select2,2,0.715022087097168
select3,2,0.01185297966003418
delete,2,0.014054298400878906
select1,3,0.034044742584228516
select2,3,0.679088830947876
select3,3,0.008450031280517578
delete,3,0.013206958770751953
select1,4,0.031710147857666016
select2,4,0.6849679946899414
select3,4,0.008529186248779297
delete,4,0.01304006576538086
select1,5,0.03597092628479004
select2,5,0.6661331653594971
select3,5,0.00824880599975586
delete,5,0.012533187866210938
